,0
0,2.208762197515787
1,2.423119210247275
2,2.1328701671594605
3,1.9345944503064325
4,2.231286021120992
5,2.248062749591442
6,2.0994357094455194
7,1.7881912990448248
8,2.1720023707937446
9,1.872857435784045
10,2.0423002472157235
11,2.318317345701025
12,2.220735164666636
13,2.0790182619271023
14,2.188747665915156
15,2.010596365156987
16,1.9387837098411298
17,2.0331015261510395
18,1.9777178657403984
19,2.194172953667281
20,2.2138153092869777
21,2.04868465291781
22,2.0035183133722048
23,2.2714522698223756
24,2.196482629505071
25,1.9587057216936254
26,1.9517612084075273
27,2.0188293539353674
28,2.1765051864623555
29,1.9761226376046772
