,0
0,2.208762834454078
1,2.4231146085442217
2,2.1328675640506694
3,1.9345942263329061
4,2.2312813812386274
5,2.2480617579406355
6,2.0994402572234447
7,1.7882124741799994
8,2.172002874294624
9,1.8728569154621864
10,2.0422982274884505
11,2.318315323564538
12,2.220724606017009
13,2.0790181770195915
14,2.188746501600351
15,2.0105976498173237
16,1.9387887905666705
17,2.033106455166303
18,1.9777207818235636
19,2.194167654601765
20,2.2138146041849365
21,2.048684523483858
22,2.0035219407758036
23,2.2714539498880306
24,2.1964782193533465
25,1.9586967632079193
26,1.9517709460880739
27,2.018832688070689
28,2.176499455646348
29,1.9761178479140282
