,0
0,2.1712826009538087
1,1.1728963641908106
2,1.6775918973917012
3,2.3286149414484134
4,2.083430534728838
5,1.784924446690546
6,2.54860322107784
7,2.110484948714097
8,2.478432835736254
9,2.1969695438997765
10,2.2315739381485526
11,1.6034830251117163
12,2.6816276949963687
13,2.118435628119256
14,2.1455869879074765
15,1.9606521327903228
16,1.289998871909221
17,2.2997457191093984
18,2.423513966577345
19,1.8903402686560768
20,2.0770695148362046
21,1.819658690425221
22,2.9228194943558266
23,2.4163245554107613
24,2.4725955904659176
25,1.8306645500955487
26,1.71840257089001
27,2.550744933573224
28,1.9734259070094433
29,1.9506546247800156
