,0
0,2.0340499999999997
1,1.9794999999999998
2,1.9772499999999997
3,2.1754500000000005
4,2.1425500000000004
5,1.99315
6,2.2407999999999997
7,2.1674999999999995
8,2.0202
9,1.9550999999999998
10,1.9493999999999996
11,2.20695
12,2.1399999999999997
13,2.02255
14,2.238283333333334
15,2.3166499999999997
16,1.9898999999999998
17,2.199016666666667
18,2.278
19,1.7962
20,2.1483
21,2.00445
22,2.107183333333333
23,2.5009
24,2.3175
25,1.9064375000000002
26,2.1343500000000004
27,2.1498500000000003
28,2.1789
29,2.2411499999999998
