,0
0,2.0404560074464944
1,2.0190769571527203
2,2.06535249454645
3,2.0552501954353595
4,2.1815796985471168
5,1.995616953449687
6,2.0877220956623836
7,2.1444075016382227
8,2.033423149972347
9,2.077961479359418
10,2.1169586111551117
11,2.0781451137492892
12,2.108721897484076
13,2.099203405506314
14,2.120320973435185
15,2.0248381865224903
16,2.085466878350723
17,2.201577392052276
18,2.0213405696143147
19,2.099084916219802
20,2.1137380615224295
21,2.100704867614313
22,2.204329021871224
23,2.157380483632267
24,2.056781388908602
25,2.070811458040618
26,2.055255488479793
27,1.9397453787109504
28,1.989921905442611
29,2.1118553521935945
