iter	RMSE
0	4.124654851
1	4.096092856
2	4.067777449
3	4.039450022
4	4.013512148
5	3.987439478
6	3.961620254
7	3.942296826
8	3.913885802
9	3.89033478
10	3.867922098
11	3.841389098
12	3.817123517
13	3.791221275
14	3.77001027
15	3.745684122
16	3.722326558
17	3.693900013
18	3.665929082
19	3.640736749
20	3.617859212
21	3.595157896
22	3.57310441
23	3.553242249
24	3.529511444
25	3.506339615
26	3.482906415
27	3.463353086
28	3.44298756
29	3.428315581
30	3.413176934
31	3.391231188
32	3.369634541
33	3.347472594
34	3.32944882
35	3.306001818
36	3.281840014
37	3.264851318
38	3.242995362
39	3.222440226
40	3.204042783
41	3.182599202
42	3.162703164
43	3.142218258
44	3.122978271
45	3.105320874
46	3.085719859
47	3.066516163
48	3.048164565
49	3.028573059
50	3.011638376
51	2.992254682
52	2.97418306
53	2.957546055
54	2.936813283
55	2.922728659
56	2.907538121
57	2.887204481
58	2.87217103
59	2.857976404
60	2.842085869
61	2.826070421
62	2.808896046
63	2.796881231
64	2.779272718
65	2.763114079
66	2.745923632
67	2.727341128
68	2.710434683
69	2.691928932
70	2.674480358
71	2.657366847
72	2.639442201
73	2.622705523
74	2.605820848
75	2.588682618
76	2.571853071
77	2.556167547
78	2.540566259
79	2.526734174
80	2.507131247
81	2.492432317
82	2.477637705
83	2.458589424
84	2.442299638
85	2.427650151
86	2.41151185
87	2.394637216
88	2.38350557
89	2.367849553
90	2.354528202
91	2.33948156
92	2.323887761
93	2.310789264
94	2.299890389
95	2.285715658
96	2.271315838
97	2.256739084
98	2.243671631
99	2.228916096
100	2.21676909
101	2.204240598
102	2.190922661
103	2.177649236
104	2.162111774
105	2.148398871
106	2.134752659
107	2.122060882
108	2.10831772
109	2.097205329
110	2.082985074
111	2.071259156
112	2.056801069
113	2.043864568
114	2.030865551
115	2.020533886
116	2.005998451
117	1.990661878
118	1.980904056
119	1.969387594
120	1.957401086
121	1.945578386
122	1.933151418
123	1.920718447
124	1.909425986
125	1.896158764
126	1.886197227
127	1.874571829
128	1.864702995
129	1.854276834
130	1.843573382
131	1.831535456
132	1.820915415
133	1.808183444
134	1.798246786
135	1.785970829
136	1.775240519
137	1.766110719
138	1.75382528
139	1.743865585
140	1.733520889
141	1.721801314
142	1.709548496
143	1.698443853
144	1.688203508
145	1.677415132
146	1.665871597
147	1.656718568
148	1.645852423
149	1.633085785
150	1.622166972
151	1.612068536
152	1.600778026
153	1.590855408
154	1.580840201
155	1.572037529
156	1.559540343
157	1.550016878
158	1.539546272
159	1.529400982
160	1.519596247
161	1.510206559
162	1.50002996
163	1.48970968
164	1.482230661
165	1.472643565
166	1.462114182
167	1.452056059
168	1.441638815
169	1.433974078
170	1.424553292
171	1.416729041
172	1.407911932
173	1.399409236
174	1.390023641
175	1.381234076
176	1.37177771
177	1.362521519
178	1.353863964
179	1.345760546
180	1.335533864
181	1.328126662
182	1.319314715
183	1.310391338
184	1.302685466
185	1.296004836
186	1.28702957
187	1.277561576
188	1.269135082
189	1.261230059
190	1.25378566
191	1.246033774
192	1.237284884
193	1.229497131
194	1.22177661
195	1.212914047
196	1.204768169
197	1.195888584
198	1.188887428
199	1.180448935
200	1.172162203
201	1.16424465
202	1.15605691
203	1.146755424
204	1.138089774
205	1.131579004
206	1.123156362
207	1.115757624
208	1.107478198
209	1.100099892
210	1.09140747
211	1.083015464
212	1.074970621
213	1.067248095
214	1.059556544
215	1.051709696
216	1.044009265
217	1.037155333
218	1.030813389
219	1.024998904
220	1.017505557
221	1.009946077
222	1.001887174
223	0.9930200072
224	0.985526692
225	0.9784723009
226	0.9705056618
227	0.9639705999
228	0.9575435599
229	0.9508589313
230	0.9442986492
231	0.9372463006
232	0.9304738666
233	0.9237959926
234	0.9172273383
235	0.9097586166
236	0.9036449984
237	0.8968998892
238	0.890888313
239	0.8846598162
240	0.8784519308
241	0.8728763667
242	0.8668540679
243	0.8613736226
