iter	Passed	Remaining
0	29	29659
1	46	22961
2	64	21357
3	80	20035
4	97	19380
5	111	18473
6	128	18255
7	147	18234
8	163	18035
9	180	17896
10	203	18337
11	222	18344
12	241	18364
13	263	18570
14	280	18442
15	300	18480
16	317	18378
17	338	18493
18	357	18479
19	387	18987
20	417	19452
21	438	19489
22	458	19483
23	476	19364
24	495	19316
25	514	19281
26	535	19314
27	555	19283
28	574	19239
29	603	19498
30	622	19466
31	642	19431
32	664	19457
33	681	19369
34	700	19324
35	720	19291
36	741	19300
37	761	19266
38	779	19200
39	800	19202
40	825	19304
41	844	19252
42	863	19220
43	880	19139
44	898	19069
45	917	19018
46	936	18994
47	962	19087
48	980	19028
49	999	18987
50	1018	18960
51	1040	18965
52	1059	18930
53	1077	18867
54	1095	18819
55	1112	18751
56	1133	18748
57	1153	18732
58	1175	18752
59	1195	18733
60	1211	18653
61	1229	18607
62	1250	18603
63	1268	18551
64	1287	18522
65	1305	18478
66	1325	18464
67	1343	18409
68	1362	18383
69	1384	18396
70	1404	18380
71	1425	18373
72	1442	18319
73	1460	18276
74	1480	18253
75	1496	18198
76	1519	18218
77	1537	18177
78	1556	18147
79	1574	18103
80	1594	18096
81	1621	18148
82	1640	18120
83	1667	18188
84	1690	18193
85	1708	18157
86	1729	18147
87	1751	18150
88	1769	18109
89	1788	18078
90	1809	18075
91	1835	18120
92	1855	18097
93	1887	18192
94	1908	18183
95	1928	18163
96	1948	18135
97	1966	18101
98	1984	18064
99	2002	18020
100	2026	18040
101	2049	18043
102	2069	18019
103	2093	18040
104	2117	18045
105	2133	17996
106	2153	17970
107	2173	17950
108	2192	17922
109	2211	17895
110	2230	17860
111	2249	17837
112	2267	17797
113	2285	17763
114	2308	17764
115	2327	17740
116	2346	17706
117	2363	17665
118	2382	17635
119	2402	17616
120	2421	17591
121	2441	17570
122	2459	17534
123	2477	17504
124	2494	17463
125	2515	17451
126	2537	17441
127	2555	17408
128	2573	17375
129	2591	17340
130	2608	17305
131	2625	17267
132	2643	17232
133	2665	17227
134	2678	17164
135	2694	17120
136	2716	17111
137	2738	17103
138	2756	17075
139	2775	17050
140	2795	17029
141	2815	17009
142	2832	16976
143	2850	16944
144	2868	16913
145	2887	16887
146	2910	16886
147	2935	16896
148	2953	16869
149	2973	16850
150	2997	16852
151	3015	16822
152	3034	16801
153	3052	16770
154	3071	16745
155	3089	16713
156	3111	16707
157	3136	16714
158	3156	16694
159	3179	16693
160	3197	16660
161	3214	16629
162	3231	16593
163	3248	16559
164	3268	16540
165	3296	16562
166	3319	16556
167	3343	16559
168	3364	16544
169	3382	16513
170	3401	16490
171	3418	16458
172	3439	16442
173	3459	16422
174	3476	16390
175	3501	16392
176	3519	16363
177	3537	16336
178	3562	16338
179	3579	16306
180	3598	16281
181	3617	16257
182	3637	16237
183	3656	16217
184	3674	16188
185	3696	16178
186	3716	16156
187	3735	16133
188	3754	16110
189	3775	16095
190	3794	16072
191	3811	16041
192	3830	16017
193	3847	15986
194	3868	15969
195	3890	15958
196	3911	15942
197	3938	15951
198	3960	15939
199	3979	15919
200	4006	15926
201	4026	15906
202	4043	15876
203	4064	15860
204	4085	15842
205	4103	15818
206	4122	15794
207	4142	15773
208	4167	15772
209	4189	15760
210	4209	15742
211	4234	15739
212	4254	15718
213	4271	15689
214	4292	15673
215	4316	15667
216	4339	15659
217	4365	15661
218	4390	15658
219	4422	15681
220	4440	15651
221	4461	15634
222	4483	15620
223	4501	15594
224	4521	15574
225	4550	15583
226	4573	15573
227	4598	15570
228	4617	15547
229	4635	15518
230	4654	15496
231	4686	15515
232	4711	15509
233	4731	15487
234	4751	15467
235	4768	15438
236	4788	15414
237	4806	15390
238	4828	15373
239	4853	15368
240	4871	15343
241	4895	15334
242	4914	15310
243	4932	15282
244	4952	15263
245	4972	15239
246	4994	15226
247	5015	15209
